"","Sex","Edu"
"1","F","B"
"2","M","B"
"3","F","M"
"4","F","B"
"5","F","M"
"6","F","M"
"7","M","M"
"8","M","M"
"9","M","M"
"10","M","M"
"11","M","M"
"12","M","M"
"13","M","M"
"14","M","B"
"15","M","M"
"16","F","B"
"17","F","B"
"18","F","M"
"19","M","M"
"20","F","B"
"21","M","M"
"22","F","M"
"23","F","M"
"24","F","B"
"25","F","B"
"26","F","M"
"27","F","M"
"28","F","M"
"29","F","B"
"30","F","M"
"31","F","M"
"32","F","M"
"33","F","M"
"34","F","M"
"35","M","M"
"36","F","M"
"37","F","M"
"38","M","M"
"39","M","M"
"40","F","M"
"41","M","M"
"42","F","M"
"43","F","B"
"44","F","M"
"45","M","B"
"46","F","M"
"47","M","M"
"48","M","B"
"49","F","M"
"50","M","M"
